indicator,subindicator,parameter,unit,code,source,memberStateCode,memberStateName,year,value,flag
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SI,Slovenia,2020,10.29,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,ES,Spain,2020,9.98,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SE,Sweden,2020,20.31,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,AT,Austria,2020,65214055.12,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,BE,Belgium,2020,8964532.09,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,BG,Bulgaria,2020,17883820.73,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HR,Croatia,2020,32223470.23,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,CY,Cyprus,2020,1413363.76,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,CZ,Czechia,2020,51447550.01,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,DK,Denmark,2020,32752703.39,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EE,Estonia,2020,15048377.74,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-27,European Union 27 (excluding UK),2020,1238388728.09,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-28,European Union 28,2020,1253220604.95,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,FI,Finland,2020,49321675.42,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,FR,France,2020,129646697.33,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,DE,Germany,2020,194271830.84,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EL,Greece,2020,80330471.06,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HU,Hungary,2020,31949085.04,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IE,Ireland,2020,4668300.52,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IT,Italy,2020,205791588.82,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LV,Latvia,2020,18546747.24,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LT,Lithuania,2020,23095879.28,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LU,Luxembourg,2020,1304321.11,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,MT,Malta,2020,2695.92,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PL,Poland,2020,48438140.37,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PT,Portugal,2020,9996934.66,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,RO,Romania,2020,62406272.65,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SK,Slovakia,2020,11387509.08,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SI,Slovenia,2020,7760352.6,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,ES,Spain,2020,92573524.84,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SE,Sweden,2020,41948828.24,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,UK,United Kingdom,2020,14831876.86,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,AT,Austria,2020,128050331.25,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,BE,Belgium,2020,21948565.29,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,BG,Bulgaria,2020,23845094.29,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,HR,Croatia,2020,37909964.98,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,CY,Cyprus,2020,2648553.18,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,CZ,Czechia,2020,68596733.31,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,DK,Denmark,2020,43670271.18,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EE,Estonia,2020,20063730.57,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-27,European Union 27 (excluding UK),2020,1844242699.67,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-28,European Union 28,2020,1861038007.66,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,FI,Finland,2020,62806155.34,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,FR,France,2020,172737308.64,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,DE,Germany,2020,274162859.67,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EL,Greece,2020,102859189.26,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,HU,Hungary,2020,41203560.49,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,IE,Ireland,2020,8808114.22,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,IT,Italy,2020,388308623.34,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LV,Latvia,2020,27274628.3,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LT,Lithuania,2020,30794505.68,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LU,Luxembourg,2020,1304321.11,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,MT,Malta,2020,3594.55,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,PL,Poland,2020,76124690.2,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,PT,Portugal,2020,12812690.08,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,RO,Romania,2020,74787511.12,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SK,Slovakia,2020,15485150.3,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SI,Slovenia,2020,10347136.8,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,ES,Spain,2020,134292461.4,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SE,Sweden,2020,63396955.12,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,UK,United Kingdom,2020,16795307.99,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,AT,Austria,2020,554352.81,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,BE,Belgium,2020,88974.1,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,BG,Bulgaria,2020,67436.48,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,HR,Croatia,2020,101401.72,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,CY,Cyprus,2020,4616.28,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,CZ,Czechia,2020,517398.07,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,DK,Denmark,2020,253880.0,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EE,Estonia,2020,193588.55,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EU-27,European Union 27 (excluding UK),2020,9063500.91,e
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EU-28,European Union 28,2020,9311822.85,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,FI,Finland,2020,293255.86,e
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,FR,France,2020,1016620.04,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,DE,Germany,2020,1115889.54,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EL,Greece,2020,288713.25,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,HU,Hungary,2020,203488.13,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,IE,Ireland,2020,57108.5,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,IT,Italy,2020,1346275.91,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LV,Latvia,2020,254399.23,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LT,Lithuania,2020,156222.98,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LU,Luxembourg,2020,5347.09,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,MT,Malta,2020,6.33,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,PL,Poland,2020,390926.74,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,PT,Portugal,2020,196930.71,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,RO,Romania,2020,366022.82,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SK,Slovakia,2020,146910.49,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SI,Slovenia,2020,47873.59,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,ES,Spain,2020,1010712.39,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SE,Sweden,2020,385149.3,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,UK,United Kingdom,2020,248561.21,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,AT,Austria,2019,671703.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BE,Belgium,2019,93119.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BG,Bulgaria,2019,117779.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HR,Croatia,2019,108127.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CY,Cyprus,2019,6240.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CZ,Czechia,2019,535185.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DK,Denmark,2019,291247.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EE,Estonia,2019,220737.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EU-27,European Union 27 (excluding UK),2019,13799385.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EU-28,European Union 28,2019,14258660.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FI,Finland,2019,306484.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FR,France,2019,2240797.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DE,Germany,2019,1290839.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EL,Greece,2019,528752.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HU,Hungary,2019,303190.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IE,Ireland,2019,73952.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IT,Italy,2019,1993225.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LV,Latvia,2019,289796.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LT,Lithuania,2019,242118.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LU,Luxembourg,2019,5814.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,MT,Malta,2019,55.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,NL,Netherlands,2019,68068.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,PL,Poland,2019,507637.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,PT,Portugal,2019,293213.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,RO,Romania,2019,395228.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SK,Slovakia,2019,197565.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SI,Slovenia,2019,49638.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,ES,Spain,2019,2354916.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SE,Sweden,2019,613964.0,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,AT,Austria,2019,25.33,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,BE,Belgium,2019,6.85,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,BG,Bulgaria,2019,2.34,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,HR,Croatia,2019,7.19,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,CY,Cyprus,2019,4.98,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,CZ,Czechia,2019,15.19,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,DK,Denmark,2019,11.09,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EE,Estonia,2019,22.33,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EU-27,European Union 27 (excluding UK),2019,8.47,e
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EU-28,European Union 28,2019,7.9,e
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,FI,Finland,2019,13.48,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,FR,France,2019,7.72,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,DE,Germany,2019,7.75,e
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EL,Greece,2019,10.26,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,HU,Hungary,2019,5.71,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,IE,Ireland,2019,1.63,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,IT,Italy,2019,15.16,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,LV,Latvia,2019,14.79,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,LT,Lithuania,2019,8.14,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,LU,Luxembourg,2019,4.42,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,MT,Malta,2019,0.47,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,NL,Netherlands,2019,3.75,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,PL,Poland,2019,3.49,e
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,PT,Portugal,2019,7.39,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,RO,Romania,2019,2.86,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SK,Slovakia,2019,10.31,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SI,Slovenia,2019,10.35,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,ES,Spain,2019,9.66,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SE,Sweden,2019,20.43,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,AT,Austria,2019,65717488.84,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,BE,Belgium,2019,8266907.82,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,BG,Bulgaria,2019,16493762.95,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HR,Croatia,2019,29881067.42,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,CY,Cyprus,2019,2207046.35,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,CZ,Czechia,2019,42381088.89,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,DK,Denmark,2019,34152739.41,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EE,Estonia,2019,14942238.99,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-27,European Union 27 (excluding UK),2019,1313631805.8,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-28,European Union 28,2019,1328842657.97,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,FI,Finland,2019,24569758.43,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,FR,France,2019,167390647.66,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,DE,Germany,2019,223453453.27,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EL,Greece,2019,90248045.22,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HU,Hungary,2019,26483592.53,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IE,Ireland,2019,4674907.58,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IT,Italy,2019,228889904.62,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LV,Latvia,2019,18999698.0,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LT,Lithuania,2019,194958.87,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LU,Luxembourg,2019,328885.44,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,MT,Malta,2019,2648.66,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PL,Poland,2019,49561214.99,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PT,Portugal,2019,29588202.68,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,RO,Romania,2019,49119005.34,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SK,Slovakia,2019,12192616.89,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SI,Slovenia,2019,7535870.85,
